counter_id,date,time,count,workday,weather
9000000619-1,2020-09-26,7.0,57.7797592510031,0,bad
9000000619-1,2020-09-26,8.0,76.5685926976249,0,bad
9000000619-1,2020-09-26,9.0,82.5688073394496,0,bad
9000000619-1,2020-09-26,10.0,101.91082802547777,0,bad
9000000619-1,2020-09-26,11.0,158.4824624194702,0,bad
9000000619-1,2020-09-26,12.0,154.769368562472,0,bad
9000000619-1,2020-09-26,13.0,148.9655172413793,0,bad
9000000619-1,2020-09-26,14.0,144.10480349344977,0,bad
9000000619-1,2020-09-26,15.0,128.9036544850499,0,bad
9000000619-1,2020-09-26,16.0,113.99116347569952,0,bad
9000000619-1,2020-09-26,17.0,107.7605321507761,0,bad
9000000619-1,2020-09-26,18.0,120.057170080991,0,bad
9000000619-1,2020-09-27,7.0,25.3125,0,bad
9000000619-1,2020-09-27,8.0,42.992623814541595,0,bad
9000000619-1,2020-09-27,9.0,60.2930914166085,0,bad
9000000619-1,2020-09-27,10.0,59.41011235955061,0,bad
9000000619-1,2020-09-27,11.0,50.5543237250554,0,bad
9000000619-1,2020-09-27,12.0,75.3852232319241,0,bad
9000000619-1,2020-09-27,13.0,70.28753993610219,0,bad
9000000619-1,2020-09-27,14.0,109.24669760799719,0,bad
9000000619-1,2020-09-27,15.0,75.4335260115607,0,bad
9000000619-1,2020-09-27,16.0,74.1865509761388,0,bad
9000000619-1,2020-09-27,17.0,108.38709677419351,0,bad
9000000619-1,2020-09-28,8.0,205.1813471502595,1,good
9000000619-1,2020-09-28,9.0,181.3409010287336,1,good
9000000619-1,2020-09-28,10.0,232.8876039031446,1,good
9000000619-1,2020-09-28,11.0,166.09300622482561,1,good
9000000619-1,2020-09-28,12.0,210.67353698932646,1,good
9000000619-1,2020-09-28,13.0,173.9825581395349,1,good
9000000619-1,2020-09-28,14.0,277.02702702702766,1,good
9000000619-1,2020-09-28,17.0,289.7464167585458,1,good
9000000619-1,2020-09-29,8.0,173.1778425655975,1,good
9000000619-1,2020-09-29,9.0,146.10181559273758,1,good
9000000619-1,2020-09-29,10.0,6.46784045993532,1,good
9000000619-1,2020-09-30,7.0,186.234817813765,1,good
9000000619-1,2020-09-30,8.0,159.4526467410875,1,good
9000000619-1,2020-09-30,9.0,127.5134168157424,1,good
9000000619-1,2020-09-30,10.0,172.931757529546,1,good
9000000619-1,2020-09-30,11.0,152.7272727272728,1,good
9000000619-1,2020-09-30,12.0,145.10278113663858,1,good
9000000619-1,2020-09-30,13.0,231.04693140794302,1,good
9000000619-1,2020-09-30,16.0,294.5701357466074,1,good
9000000619-1,2020-09-30,17.0,242.9042904290422,1,good
9000000619-1,2020-09-30,18.0,215.8230958230951,1,good
9000000619-1,2020-10-01,7.0,198.12474520994692,1,good
9000000619-1,2020-10-01,8.0,168.188302425107,1,good
9000000619-1,2020-10-01,9.0,153.32856120257702,1,good
9000000619-1,2020-10-01,10.0,151.5198752922837,1,good
9000000619-1,2020-10-01,11.0,164.30976430976432,1,good
9000000619-1,2020-10-01,12.0,145.0061652281135,1,good
9000000619-1,2020-10-01,17.0,223.2558139534882,1,good
9000000619-1,2020-10-01,18.0,229.1986827661907,1,good
9000000619-1,2020-10-02,7.0,223.22097378277152,1,good
9000000619-1,2020-10-02,8.0,172.5111441307572,1,good
9000000619-1,2020-10-02,9.0,171.553292106221,1,good
9000000619-1,2020-10-02,10.0,153.4985422740523,1,good
9000000619-1,2020-10-02,11.0,184.2415316642115,1,good
9000000619-1,2020-10-02,12.0,196.3163596966412,1,good
9000000619-1,2020-10-02,13.0,231.5789473684215,1,good
9000000619-1,2020-10-02,16.0,314.2750093668052,1,good
9000000619-1,2020-10-02,17.0,219.2481203007524,1,good
9000000619-1,2020-10-03,7.0,75.400410677618,0,good
9000000619-1,2020-10-03,8.0,89.77871443624869,0,good
9000000619-1,2020-10-03,9.0,102.5191675794086,0,good
9000000619-1,2020-10-03,10.0,113.29137356534629,0,good
9000000619-1,2020-10-03,11.0,165.7289002557546,0,good
9000000619-1,2020-10-03,12.0,170.5856057219492,0,good
9000000619-1,2020-10-03,13.0,130.3958177744587,0,good
9000000619-1,2020-10-03,14.0,103.33692142088259,0,good
9000000619-1,2020-10-03,15.0,110.2181400688864,0,good
9000000619-1,2020-10-03,16.0,117.35941320293398,0,good
9000000619-1,2020-10-03,17.0,160.30786146234158,0,good
9000000619-1,2020-10-04,7.0,30.26706231454005,0,good
9000000619-1,2020-10-04,8.0,38.09523809523809,0,good
9000000619-1,2020-10-04,9.0,49.0272373540855,0,good
9000000619-1,2020-10-04,10.0,94.73684210526321,0,good
9000000619-1,2020-10-04,11.0,46.2046204620462,0,good
9000000619-1,2020-10-04,12.0,71.1409395973154,0,good
9000000619-1,2020-10-04,13.0,107.9509313948206,0,good
9000000619-1,2020-10-04,14.0,69.13580246913578,0,good
9000000619-1,2020-10-04,15.0,115.3347732181426,0,good
9000000619-1,2020-10-04,16.0,91.4405010438413,0,good
9000000619-1,2020-10-04,17.0,87.77339548225169,0,good
9000000619-1,2020-10-05,8.0,192.51336898395732,1,good
9000000619-1,2020-10-05,9.0,178.6309308221661,1,good
9000000619-1,2020-10-05,10.0,140.0831129580656,1,good
9000000619-1,2020-10-05,11.0,178.96749521988562,1,good
9000000619-1,2020-10-05,12.0,202.684563758389,1,good
9000000619-1,2020-10-05,13.0,185.13459220570496,1,good
9000000619-1,2020-10-05,14.0,237.0931112793338,1,good
9000000619-1,2020-10-05,17.0,208.10014727540528,1,good
9000000619-1,2020-10-06,8.0,177.4555998550197,1,good
9000000619-1,2020-10-06,9.0,153.5483870967742,1,good
9000000619-1,2020-10-06,10.0,136.9565217391305,1,good
9000000619-1,2020-10-06,11.0,147.39454094292822,1,good
9000000619-1,2020-10-06,12.0,152.85714285714312,1,good
9000000619-1,2020-10-06,13.0,193.9290294997857,1,good
9000000619-1,2020-10-06,17.0,226.64714494875528,1,good
9000000619-1,2020-10-07,8.0,192.01790376725071,1,bad
9000000619-1,2020-10-07,9.0,185.9375,1,bad
9000000619-1,2020-10-07,10.0,192.1944035346092,1,bad
9000000619-1,2020-10-07,11.0,163.4024303073622,1,bad
9000000619-1,2020-10-07,12.0,176.3265306122448,1,bad
9000000619-1,2020-10-07,13.0,212.2186495176847,1,bad
9000000619-1,2020-10-07,14.0,255.1597502754318,1,bad
9000000619-1,2020-10-07,15.0,338.15789473684333,1,bad
9000000619-1,2020-10-07,17.0,244.66019417475758,1,bad
9000000619-1,2020-10-08,8.0,172.05882352941137,1,bad
9000000619-1,2020-10-08,9.0,146.4449946940217,1,bad
9000000619-1,2020-10-08,10.0,140.3433476394848,1,bad
